#Code	#English language name	#Directionality	#Local language name	#Comment
aa	Afar	ltr	Afar	
ab	Abkhazian	ltr	Аҧсуа	
af	Afrikaans	ltr	Afrikaans	
ak	Akan	ltr	Akana	
als	Alemannic	ltr	Alemannisch	**gsw**
am	Amharic	ltr	አማርኛ	
an	Aragonese	ltr	Aragonés	
ang	Angal	ltr	Angal Heneng	
ang	Anglo-Saxon / Old English	ltr	Englisc	
ar	Arabic	rtl	العربية	
arc	Aramaic	rtl	ܣܘܪܬ	
as	Assamese	ltr	অসমীয়া	
ast	Asturian	ltr	Asturianu	
av	Avar	ltr	Авар	
ay	Aymara	ltr	Aymar	
az	Azerbaijani	ltr	Azərbaycanca / آذربايجان	
ba	Bashkir	ltr	Башҡорт	
bar	Bavarian	ltr	Boarisch	
bat-smg	Samogitian	ltr	Žemaitėška	ISO 639-3: **sgs**
bcl	Bikol	ltr	Bikol Central	ISO: 639-2:**bik** (also known as Central Bicolano)
be	Belarusian	ltr	Беларуская	
be-x-old	Belarusian (Taraškievica)	ltr	Беларуская (тарашкевіца)	&lt;!--
ber	Berber / Tamazight	ltr	ⵜⴰⵎⴰⵣⵉⵖⵜ / Tamaziɣt	--&gt;
bg	Bulgarian	ltr	Български	
bh	Bihari	ltr	भोजपुरी	
bi	Bislama	ltr	Bislama	
bm	Bambara	ltr	Bamanankan	
bn	Bengali	ltr	বাংলা	
bo	Tibetan	ltr	བོད་ཡིག / Bod skad	
bpy	Bishnupriya Manipuri	ltr	ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী	
br	Breton	ltr	Brezhoneg	
bs	Bosnian	ltr	Bosanski	
bug	Buginese	ltr	ᨅᨔ ᨕᨘᨁᨗ / Basa Ugi	
bxr	Buriat (Russia)	ltr	Буряад хэлэн	
ca	Catalan	ltr	Català	
cdo	Min Dong Chinese	ltr	Mìng-dĕ̤ng-ngṳ̄ / 閩東語	
ce	Chechen	ltr	Нохчийн	
ceb	Cebuano	ltr	Sinugboanong Binisaya	
ch	Chamorro	ltr	Chamoru	
cho	Choctaw	ltr	Choctaw	
chr	Cherokee	ltr	ᏣᎳᎩ	
chy	Cheyenne	ltr	Tsetsêhestâhese	
co	Corsican	ltr	Corsu	
cr	Cree	ltr	Nehiyaw	
cs	Czech	ltr	Česky	
csb	Kashubian	ltr	Kaszëbsczi	
cu	Old Church Slavonic / Old Bulgarian	ltr	словѣньскъ / slověnĭskŭ	
cv	Chuvash	ltr	Чăваш	
cy	Welsh	ltr	Cymraeg	
da	Danish	ltr	Dansk	
de	German	ltr	Deutsch	
diq	Dimli	ltr	Zazaki	
dsb	Lower Sorbian	ltr	Dolnoserbski	
dv	Divehi	rtl	ދިވެހިބަސް	
dz	Dzongkha	ltr	ཇོང་ཁ	
ee	Ewe	ltr	Ɛʋɛ	
el	Greek	ltr	Ελληνικά	
en	English	ltr	English	
eo	Esperanto	ltr	Esperanto	
es	Spanish	ltr	Español	
et	Estonian	ltr	Eesti	
eu	Basque	ltr	Euskara	
ext	Extremaduran	ltr	Estremeñu	
fa	Persian	rtl	فارسی	
ff	Peul	ltr	Fulfulde	
fi	Finnish	ltr	Suomi	
fiu-vro	Võro	ltr	Võro	ISO 639-3: vro
fj	Fijian	ltr	Na Vosa Vakaviti	
fo	Faroese	ltr	Føroyskt	
fr	French	ltr	Français	
